"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"A1IR.xlsx","793","2211","Correo electrónico","Cambio trabajo",61,"Mujer","Francia","Francés","Universidad",60,8,"Familiares","Me gusta leer ,","ir","VMNP","ir",NA,NA,"a el cine y encuentrar los amigos para tomar algo ."
"A1IR.xlsx","791","2205","Correo electrónico","Cambio trabajo",57,"Hombre","Francia","Francés","Secundaria",57,4,"Familiares","Y","ir","VINP","ir",NA,NA,"a ver mi hija a Barcelona ."
"A1IR.xlsx","1406","3983","Nota/aviso","Nota llegar tarde",37,"Mujer","Guinea","Francés","Universidad",37,6,"Otros","Tengo que","ir","VMNP","ir",NA,NA,"a el hospital acompanar una amiga mia ; Estas enferma y no puedo abandonar le ."
"A1IR.xlsx","781","2177","Correo electrónico","Familia",36,"Mujer","Francia","Francés","Otros",14,36,"No","Nos gusta caminar en la cuidad tambien porque hay barrios muy bien para visitar museos o","ir","VMNP","ir",NA,NA,"de copas con amigos ."
"A1IR.xlsx","778","2167","Nota/aviso","Nota llegar tarde",23,"Hombre","Colombia","Francés","Secundaria",16,5,"No","Es un viaje para dos es porque salgo la casa ahora por","ir","VMNP","ir",NA,NA,"a el sol ! lluego la proxima semana ! lo siento"
"A1IR.xlsx","2042","5753","Correo electrónico","Familia",71,"Hombre","Francia","Francés","Otros",13,10,"No","Quieren tambien","ir","VMNP","ir",NA,NA,"de compras con amigos , ir a el cine y comer o cenar ."
"A1IR.xlsx","840","2342","Correo electrónico","Cambio trabajo",61,"Mujer","Francia","Francés","Universidad",60,4,"No","Yo voy a el cine 3 o 4 vez per semana , y todos los fines de semana","voy","VMIP1S","ir",NA,NA,"a andar en el campo ."
"A1IR.xlsx","840","2343","Nota/aviso","Nota llegar tarde",61,"Mujer","Francia","Francés","Universidad",60,4,"No","Lo deseo mama , pero seguro que tu comprendes que estoy tan contenta que","voy","VIIP1S","ir",NA,NA,"a buscar la a la estacion y despues vamos a comer en un pequeño restaurante que conoces bien donde se"
"A1IR.xlsx","831","2318","Correo electrónico","Cambio trabajo",68,"Mujer","Francia","Francés","Universidad",1,4,"No","No hago deporte , pero","voy","VMIP1S","ir",NA,NA,"a_menudo hacer senderismo ."
"A1IR.xlsx","791","2207","Correo electrónico","Familia",57,"Hombre","Francia","Francés","Secundaria",57,4,"Familiares","No conoces mi familia :","voy","VIIP1S","ir",NA,NA,"a te presentar la ."
