Estudiante,Tarea,Tipología textual,Tema,Edad,Sexo,País,L1,Estudios,Edad de inicio en el estudio del español,Número de meses estudiando español,Contactos personales en países de habla española,Contexto a la izquierda,Elemento gramatical 1,Etiqueta 1,Lema 1,Palabra ortográfica 1,Información adicional 1,Contexto a la derecha
776,2160,Correo electrónico,Cambio trabajo,65,Mujer,Francia,Francés,Otros,64,8,No,"Soy Marie_Claude_Vallet , ",voy,VIIP1S,ir,,,"a trabajar con ustedes y vengo de Francia , de una ciudad que se llama Lyon y que esta en "
776,2161,Nota/aviso,Nota llegar tarde,65,Mujer,Francia,Francés,Otros,64,8,No,Esta noche llegara tarde y non deben esperar me para comer porque tengo que trabajar mas tarde y despues ,voy,VMIP1S,ir,,,a el cine con una amiga y comeremos en un bar . 
2129,5994,Correo electrónico,Familia,23,Mujer,Costa de Marfil,Francés,Secundaria,23,2,Amigos,"Tengo una familia muy grande , pero ",voy,VIIP1S,ir,,,a hablar solamente de mis padres y de mis hermanos . 
775,2157,Correo electrónico,Cambio trabajo,27,Mujer,Francia,Francés,Otros,20,6,Amigos,"En el fines de semanas , ",voy,VIIP1S,ir,,,siempre hacer la compra . 
774,2155,Nota/aviso,Nota llegar tarde,22,Mujer,Francia,Francés,Otros,22,4,No,no puedo comer en tu casa por la tarde porque ,voy,VIIP1S,ir,,,a ver mi nobio . 
2042,5751,Correo electrónico,Cambio trabajo,71,Hombre,Francia,Francés,Otros,13,10,No,En invierno ,voy,VIIP1S,ir,,,a esquiar . 
779,2169,Correo electrónico,Cambio trabajo,52,Mujer,Francia,Francés,Otros,1,8,No,"actividades en mi ciudad : hay bonitos restaurantes , sympaticos bares para ir de copas con los amigos ; a_veces ",voy,VIIP1S,ir,,,"a escuchar musica o a el cine , y me gusta tambien invitar a algunas amigos en mi casa . "
326,906,Correo electrónico,Cambio trabajo,26,Mujer,Francia,Francés,Universidad,1,2,Amigos,"En algunos meces , ",voy,VIIP1S,ir,,,"a encontrar vosotros por un nuevo trabajo , entonces , quiero presentar me un_poquito . "
1270,3586,Correo electrónico,Cambio trabajo,33,Mujer,Francia,Francés,Universidad,33,2,Familiares,"Me gustan typos varios de musica : el jazz , el rock , la musica classica ... Cada jueves ",voy,VMIP1S,ir,,,a el cine para ver peliculas . 
841,2345,Correo electrónico,Cambio trabajo,67,Hombre,Francia,Francés,Primaria,67,3,Amigos,A veces ,voy,VMIP1S,ir,,,a el ciné y yo quiero mucho las peliculas de la historia policia 
840,2342,Correo electrónico,Cambio trabajo,61,Mujer,Francia,Francés,Universidad,60,4,No,Ahora que ,voy,VIIP1S,ir,,,a trabajar con vosotros creo que es bien presentar me a vosotros . 
1974,5564,Correo electrónico,Familia,45,Hombre,Francia,Francés,Secundaria,45,0,No,Hoy estoy en Paris y ,voy,VIIP1S,ir,,,a ver una partida de mi familia que vive cerca de esta ciudad . 
1270,3587,Nota/aviso,Nota llegar tarde,33,Mujer,Francia,Francés,Universidad,33,2,Familiares,No espera me para cenar porque ,voy,VIIP1S,ir,,,a llegar tarde a casa . 
390,1082,Nota/aviso,Nota llegar tarde,42,Mujer,Francia,Francés,Secundaria,1,0,No,Despuès ,voy,VMIP1S,ir,,,a la farmacia para comprar los medicamemtes . 
781,2176,Nota/aviso,Nota llegar tarde,36,Mujer,Francia,Francés,Otros,14,36,No,,Voy,VMIP1S,ir,,,a el cine con Emilie a las ocho_de_las_tarde . 
326,907,Nota/aviso,Nota llegar tarde,26,Mujer,Francia,Francés,Universidad,1,2,Amigos,,Voy,VIIP1S,ir,,,a ver la y quedar con ella un_poquito . 
836,2330,Correo electrónico,Cambio trabajo,44,Mujer,Francia,Francés,Universidad,44,4,Familiares,,Voy,VIIP1S,ir,,,a trabajar contigo y soy muy contenta . 
